data;total_multas;total_acidentes
2010-06-23;;505
2010-06-24;;467
2010-06-25;;517
2010-06-26;;430
2010-06-27;;418
2010-06-28;;487
2010-06-29;;401
2010-06-30;;401
2010-07-01;;461
2010-07-02;;507
2010-07-03;;455
2010-07-04;;432
2010-07-05;;430
2010-07-06;;393
2010-07-07;;462
2010-07-08;;439
2010-07-09;;597
2010-07-10;;557
2010-07-11;;475
2010-07-12;;535
2010-07-13;;466
2010-07-14;;514
2010-07-15;;531
2010-07-16;;740
2010-07-17;;587
2010-07-18;;557
2010-07-19;;484
2010-07-20;;421
2010-07-21;;461
2010-07-22;;497
2010-07-23;;606
2010-07-24;;546
2010-07-25;;520
2010-07-26;;454
2010-07-27;;406
2010-07-28;;416
2010-07-29;;487
2010-07-30;;574
2010-07-31;;529
2010-08-01;;611
2010-08-02;;470
2010-08-03;;392
2010-08-04;;499
2010-08-05;;435
2010-08-06;;564
2010-08-07;;547
2010-08-08;;535
2010-08-09;;520
2010-08-10;;466
2010-08-11;;432
2010-08-12;;398
2010-08-13;;551
2010-08-14;;513
2010-08-15;;535
2010-08-16;;486
2010-08-17;;399
2010-08-18;;444
2010-08-19;;441
2010-08-20;;543
2010-08-21;;520
2010-08-22;;479
2010-08-23;;437
2010-08-24;;411
2010-08-25;;403
2010-08-26;;463
2010-08-27;;537
2010-08-28;;489
2010-08-29;;480
2010-08-30;;409
2010-08-31;;449
2010-09-01;;464
2010-09-02;;458
2010-09-03;;630
2010-09-04;;749
2010-09-05;;493
2010-09-06;;466
2010-09-07;;579
2010-09-08;;685
2010-09-09;;481
2010-09-10;;523
2010-09-11;;541
2010-09-12;;459
2010-09-13;;470
2010-09-14;;429
2010-09-15;;440
2010-09-16;;476
2010-09-17;;566
2010-09-18;;591
2010-09-19;;517
2010-09-20;;546
2010-09-21;;526
2010-09-22;;405
2010-09-23;;439
2010-09-24;;610
2010-09-25;;563
2010-09-26;;544
2010-09-27;;591
2010-09-28;;556
2010-09-29;;408
2010-09-30;;457
2010-10-01;;654
2010-10-02;;596
2010-10-03;;441
2010-10-04;;461
2010-10-05;;411
2010-10-06;;464
